Reward Type,1-Star Chance,2-Star Chance,3-Star Chance,4-Star Chance,5-Star Chance
Gold,30.00%,30.00%,25.00%,25.00%,\-
Random Cards,70.00%,66.00%,44.00%,42.00%,\-
Banners,\-,4.00%,\-,\-,\-
Common Wild Card,\-,\-,9.00%,9.00%,\-
Rare Wild Card,\-,\-,8.00%,8.00%,\-
Epic Wild Card,\-,\-,4.00%,4.00%,\-
Legendary Wild Card,\-,\-,3.00%,3.00%,\-
Champion Wild Card,\-,\-,3.00%,3.00%,\-
Emotes,\-,\-,4.00%,\-,\-
Elite Wild Card,\-,\-,\-,3.00%,7.53%
Wild Evolution Shard,\-,\-,\-,3.00%,\-
Full Evolution,\-,\-,\-,\-,4.30%
Common Book,\-,\-,\-,\-,21.51%
Rare Book,\-,\-,\-,\-,21.51%
Epic Book,\-,\-,\-,\-,17.20%
Legendary Book,\-,\-,\-,\-,17.20%
Book of Books,\-,\-,\-,\-,10.75%
